SessionId,DeviceId,event_timeline,journey
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,"[
  ""or.app.resume"",
  ""or.app.start"",
  ""or.qcksearch"",
  ""or.search.quick"",
  ""impression.poi"",
  ""impression.poi"",
  ""impression.poi"",
  ""impression.poi"",
  ""or.poi.get-overview"",
  ""or.search.get-poi"",
  ""or.poi.get-details"",
  ""or.takeaway.order"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.app.resume"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume""
]","[
  ""返回 App"",
  ""開啟 App"",
  ""開啟快速搜尋"",
  ""搜尋餐廳"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""載入 POI 概覽"",
  ""從搜尋結果進入 POI"",
  ""載入 POI 詳情"",
  ""進入外賣自取點餐頁"",
  ""前往結帳"",
  ""確認下單"",
  ""返回 App"",
  ""付款"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App""
]"
127050,1f894cab868b116f,"[
  ""or.poi.get-overview"",
  ""or.poi.get-details"",
  ""or.poi.get-details"",
  ""or.poi.get-overview"",
  ""or.poi.back"",
  ""or.poi.back"",
  ""or.search.quick"",
  ""or.search.quick"",
  ""impression.poi"",
  ""or.search.layer"",
  ""or.search.layer"",
  ""or.qcksearch"",
  ""impression.poi"",
  ""or.search.layer"",
  ""or.qcksearch"",
  ""or.search.layer"",
  ""or.search.layer.record"",
  ""or.poi.get-overview"",
  ""or.poi.get-details"",
  ""or.search.layer.record"",
  ""or.poi.get-overview"",
  ""or.poi.get-details"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.takeaway.order"",
  ""or.poi.get-photos.food"",
  ""or.takeaway.order"",
  ""or.poi.get-photos.food"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""poi.emenu.get-item"",
  ""or.takeaway.checkout"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay"",
  ""or.takeaway.pay""
]","[
  ""載入 POI 概覽"",
  ""載入 POI 詳情"",
  ""載入 POI 詳情"",
  ""載入 POI 概覽"",
  ""離開 POI 頁面"",
  ""離開 POI 頁面"",
  ""搜尋餐廳"",
  ""搜尋餐廳"",
  ""瀏覽POI"",
  ""搜尋頁面"",
  ""搜尋頁面"",
  ""開啟快速搜尋"",
  ""瀏覽POI"",
  ""搜尋頁面"",
  ""開啟快速搜尋"",
  ""搜尋頁面"",
  ""使用搜尋紀錄"",
  ""載入 POI 概覽"",
  ""載入 POI 詳情"",
  ""使用搜尋紀錄"",
  ""載入 POI 概覽"",
  ""載入 POI 詳情"",
  ""返回 App"",
  ""返回 App"",
  ""進入外賣自取點餐頁"",
  ""載入餐廳食物相片"",
  ""進入外賣自取點餐頁"",
  ""載入餐廳食物相片"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""瀏覽菜單"",
  ""前往結帳"",
  ""前往結帳"",
  ""確認下單"",
  ""確認下單"",
  ""付款"",
  ""付款""
]"
925466,e5f59098851843a7,"[
  ""or.app.start"",
  ""or.app.start"",
  ""or.qcksearch"",
  ""or.search.layer"",
  ""or.search.layer"",
  ""or.search.layer.tips"",
  ""impression.poi"",
  ""impression.poi"",
  ""or.poi.get-overview"",
  ""or.poi.get-details"",
  ""or.search.get-poi"",
  ""or.takeaway.order"",
  ""or.poi.get-photos.menu"",
  ""poi.emenu.get-item"",
  ""or.takeaway.checkout"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.app.start"",
  ""or.app.start""
]","[
  ""開啟 App"",
  ""開啟 App"",
  ""開啟快速搜尋"",
  ""搜尋頁面"",
  ""搜尋頁面"",
  ""使用搜尋提示"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""載入 POI 概覽"",
  ""載入 POI 詳情"",
  ""從搜尋結果進入 POI"",
  ""進入外賣自取點餐頁"",
  ""載入餐廳菜單相片"",
  ""瀏覽菜單"",
  ""前往結帳"",
  ""返回 App"",
  ""返回 App"",
  ""確認下單"",
  ""付款"",
  ""返回 App"",
  ""開啟 App"",
  ""開啟 App""
]"
119842,1daf763b-8da1-4b2f-b824-12d558a8ffda,"[
  ""or.app.resume"",
  ""impression.poi"",
  ""impression.poi"",
  ""impression.poi"",
  ""user.bookmark.poi"",
  ""or.takeaway.order"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.app.openpush"",
  ""or.app.resume"",
  ""or.app.resume""
]","[
  ""返回 App"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""新增收藏"",
  ""進入外賣自取點餐頁"",
  ""前往結帳"",
  ""確認下單"",
  ""付款"",
  ""返回 App"",
  ""從 push notification 開啟 App"",
  ""返回 App"",
  ""返回 App""
]"
252253,3ea40686-e25e-4ccb-9887-64c71db37c78,"[
  ""or.app.resume"",
  ""or.qcksearch"",
  ""or.poi.get-details"",
  ""or.takeaway.order"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.app.resume"",
  ""or.takeaway.pay"",
  ""or.myor.orderList"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.start"",
  ""or.qcksearch"",
  ""or.poi.get-details"",
  ""or.poi.get-reviews"",
  ""or.poi.review.back"",
  ""or.takeaway.order"",
  ""or.app.resume""
]","[
  ""返回 App"",
  ""開啟快速搜尋"",
  ""載入 POI 詳情"",
  ""進入外賣自取點餐頁"",
  ""返回 App"",
  ""返回 App"",
  ""前往結帳"",
  ""確認下單"",
  ""返回 App"",
  ""付款"",
  ""載入「我的訂單」列表"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""開啟 App"",
  ""開啟快速搜尋"",
  ""載入 POI 詳情"",
  ""載入餐廳評論"",
  ""離開餐廳評論"",
  ""進入外賣自取點餐頁"",
  ""返回 App""
]"
818327,cb512dc0-6f1c-4824-8d2e-e08565916438,"[
  ""or.app.resume"",
  ""or.app.start"",
  ""or.qcksearch"",
  ""or.search.quick"",
  ""impression.poi"",
  ""impression.poi"",
  ""or.takeaway.order"",
  ""or.app.resume"",
  ""or.takeaway.checkout"",
  ""or.app.resume"",
  ""or.takeaway.place-order"",
  ""or.app.resume"",
  ""or.takeaway.pay""
]","[
  ""返回 App"",
  ""開啟 App"",
  ""開啟快速搜尋"",
  ""搜尋餐廳"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""進入外賣自取點餐頁"",
  ""返回 App"",
  ""前往結帳"",
  ""返回 App"",
  ""確認下單"",
  ""返回 App"",
  ""付款""
]"
240829,3bc6f903023545c0,"[
  ""or.app.start"",
  ""or.app.start"",
  ""or.search.themelist.takeaway"",
  ""or.takeaway.order"",
  ""or.poi.get-photos.food"",
  ""poi.emenu.get-item"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.openpush"",
  ""or.app.start""
]","[
  ""開啟 App"",
  ""開啟 App"",
  ""點擊外賣自取按鈕"",
  ""進入外賣自取點餐頁"",
  ""載入餐廳食物相片"",
  ""瀏覽菜單"",
  ""前往結帳"",
  ""確認下單"",
  ""付款"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""從 push notification 開啟 App"",
  ""開啟 App""
]"
967536,f056f88d-d2ad-4051-af5b-0b81ecd249bf,"[
  ""or.app.resume"",
  ""or.qcksearch"",
  ""or.poi.get-details"",
  ""or.takeaway.order"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.app.resume"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.app.resume"",
  ""or.myor.orderList"",
  ""or.qcksearch"",
  ""or.search.layer"",
  ""or.search.nearby"",
  ""impression.sponsor.poi"",
  ""impression.poi"",
  ""or.search.layer"",
  ""or.search.layer.tips"",
  ""or.poi.get-details"",
  ""or.poi.get-overview"",
  ""or.poi.map"",
  ""impression.poi"",
  ""impression.poi"",
  ""impression.poi""
]","[
  ""返回 App"",
  ""開啟快速搜尋"",
  ""載入 POI 詳情"",
  ""進入外賣自取點餐頁"",
  ""前往結帳"",
  ""確認下單"",
  ""返回 App"",
  ""付款"",
  ""返回 App"",
  ""返回 App"",
  ""返回 App"",
  ""載入「我的訂單」列表"",
  ""開啟快速搜尋"",
  ""搜尋頁面"",
  ""附近餐廳搜尋"",
  ""瀏覽贊助餐廳"",
  ""瀏覽POI"",
  ""搜尋頁面"",
  ""使用搜尋提示"",
  ""載入 POI 詳情"",
  ""載入 POI 概覽"",
  ""查看餐廳地圖"",
  ""瀏覽POI"",
  ""瀏覽POI"",
  ""瀏覽POI""
]"
693064,ac224d2f-4326-4a83-b662-ea697ee607b1,"[
  ""or.app.resume"",
  ""or.app.start"",
  ""myor.search.bkmPOI"",
  ""or.myor.bkmPOI"",
  ""myor.search.bkmPOI"",
  ""impression.poi"",
  ""or.takeaway.order"",
  ""or.takeaway.view-basket"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay"",
  ""or.app.resume"",
  ""or.myor.orderList""
]","[
  ""返回 App"",
  ""開啟 App"",
  ""從收藏清單搜尋收藏 POI "",
  ""從收藏清單選擇餐廳"",
  ""從收藏清單搜尋收藏 POI "",
  ""瀏覽POI"",
  ""進入外賣自取點餐頁"",
  ""查看外賣購物籃"",
  ""前往結帳"",
  ""確認下單"",
  ""付款"",
  ""返回 App"",
  ""載入「我的訂單」列表""
]"
900640,dfc1b3ddecfc2e15,"[
  ""or.app.start"",
  ""or.app.start"",
  ""or.qcksearch"",
  ""or.search.layer"",
  ""or.search.layer"",
  ""or.poi.get-overview"",
  ""or.poi.get-details"",
  ""or.search.layer.tips"",
  ""or.takeaway.order"",
  ""or.poi.get-photos.menu"",
  ""poi.emenu.get-item"",
  ""or.takeaway.checkout"",
  ""or.takeaway.place-order"",
  ""or.takeaway.pay""
]","[
  ""開啟 App"",
  ""開啟 App"",
  ""開啟快速搜尋"",
  ""搜尋頁面"",
  ""搜尋頁面"",
  ""載入 POI 概覽"",
  ""載入 POI 詳情"",
  ""使用搜尋提示"",
  ""進入外賣自取點餐頁"",
  ""載入餐廳菜單相片"",
  ""瀏覽菜單"",
  ""前往結帳"",
  ""確認下單"",
  ""付款""
]"
